DOI,Title,Authors,Corresponding Authors,Institution,Date,Version,Type,Category,Xml,Published
10.1101/201137,Transcriptomic Dynamics of a non-coding trinucleotide repeat expansion disorder SCA12 in iPSC derived neuronal cells: signatures of interferon induced response,"Kumar, D.; Dhapola, P.; Hussain, A.; Kutum, R.; Srivastava, A. K.; Mukerji, M.; Mukherjee, O.; Faruq, M.",Mohammed  Faruq,CSIR- Institute of Genomics and Integrative Biology,2018-08-21,2,new results,molecular biology,https://www.biorxiv.org/content/early/2018/08/21/201137.source.xml,NA
10.1101/201285,Electrophysiological Signature Reveals Laminar Structure of the Porcine Hippocampus,"Ulyanova, A. V.; Koch, P. F.; Cottone, C.; Grovola, M. R.; Browne, K. D.; Russo, R. J.; Adam, C. D.; Smith, D. H.; Chen, H. I.; Johnson, V. E.; Cullen, D. K.; Wolf, J. A.",John A Wolf,"University of Pennsylvania, Corporal Michael J. Crescenz Veterans Affair Medical Center",2018-08-26,2,new results,neuroscience,https://www.biorxiv.org/content/early/2018/08/26/201285.source.xml,10.1523/eneuro.0102-18.2018
10.1101/213330,The Fission Yeast S-Phase Cyclin Cig2 Can Drive Mitosis,"Magner, M.; Pickering, M.; Keifenheim, D.; Rhind, N.",Nicholas  Rhind,University of Massachusetts Medical School,2018-08-28,2,new results,cell biology,https://www.biorxiv.org/content/early/2018/08/28/213330.source.xml,10.1093/genetics/iyaa002
10.1101/216598,The cost of enforcing a marine protected area to achieve ecological targets for the recovery of fish biomass,"Brown, C.; Parker, B.; Ahmadia, G. N.; Ardiwijaya, R.; Purwanto, P.; Game, E. T.",Christopher  Brown,Griffith University,2018-08-27,2,new results,ecology,https://www.biorxiv.org/content/early/2018/08/27/216598.source.xml,10.1016/j.biocon.2018.09.021
10.1101/221432,GMSE: an R package for generalised management strategy evaluation,"Duthie, A. B.; Cusack, J. J.; Jones, I. L.; Minderman, J.; Nilsen, E. B.; Pozo, R. A.; Rakotonarivo, O. S.; Van Moorter, B.; Bunnefeld, N.",Alexander B Duthie,University of Stirling,2018-08-23,3,new results,ecology,https://www.biorxiv.org/content/early/2018/08/23/221432.source.xml,10.1111/2041-210x.13091
10.1101/222810,Experimental evidence that female rhesus macaques (Macaca mulatta) perceive variation in male facial masculinity,"Rosenfield, K. A.; Semple, S.; Georgiev, A. V.; Maestripieri, D.; Higham, J. P.; Dubuc, C.",Kevin A Rosenfield,Penn State University,2018-08-26,3,new results,animal behavior and cognition,https://www.biorxiv.org/content/early/2018/08/26/222810.source.xml,10.1098/rsos.181415
10.1101/224089,Habitat complexity and benthic predator-prey interactions in Chesapeake Bay,"Glaspie, C. N.; Seitz, R. D.",Cassandra N Glaspie,Oregon State University,2018-08-25,2,new results,ecology,https://www.biorxiv.org/content/early/2018/08/25/224089.source.xml,10.1371/journal.pone.0205162
10.1101/224733,Combining accurate tumour genome simulation with crowd-sourcing to benchmark somatic structural variant detection,"Lee, A. Y.-W.; Ewing, A. D.; Ellrott, K.; Hu, Y.; Houlahan, K. E.; Bare, J. C.; Espiritu, S. M. G.; Huang, V.; Dang, K.; Chong, Z.; Caloian, C.; Yamaguchi, T. N.; ICGC-TCGA DREAM Somatic Mutation Calling Challenge Participants,  ; Kellen, M. R.; Chen, K.; Norman, T. C.; Friend, S. H.; Guinney, J.; Stolovitzky, G.; Haussler, D.; Margolin, A. A.; Stuart, J. M.; Boutros, P. C.",Paul C. Boutros,Ontario Institute for Cancer Research,2018-08-28,3,new results,bioinformatics,https://www.biorxiv.org/content/early/2018/08/28/224733.source.xml,10.1186/s13059-018-1539-5
10.1101/230375,A Very Oil Yellow1 modifier of the Oil Yellow1-N1989 allele uncovers a cryptic phenotypic impact of cis-regulatory variation in maize,"Khangura, R. S.; Marla, S.; Venkata, B. P.; Heller, N.; Johal, G. S.; Dilkes, B. P.",Brian P Dilkes,Purdue University,2018-08-28,2,new results,genetics,https://www.biorxiv.org/content/early/2018/08/28/230375.source.xml,10.1534/g3.118.200798
10.1101/237065,Exploring Single-Cell Data with Deep Multitasking Neural Networks,"Amodio, M.; van Dijk, D.; Srinivasan, K.; Chen, W. S.; Mohsen, H.; Moon, K. R.; Campbell, A.; Zhao, Y.; Wang, X.; Venkataswamy, M.; Desai, A.; V., R.; Kumar, P.; Montgomery, R.; Wolf, G.; Krishnaswamy, S.",Smita  Krishnaswamy,Yale University,2018-08-27,2,new results,bioinformatics,https://www.biorxiv.org/content/early/2018/08/27/237065.source.xml,10.1038/s41592-019-0576-7
10.1101/237065,Exploring Single-Cell Data with Deep Multitasking Neural Networks,"Amodio, M.; van Dijk, D.; Srinivasan, K.; Chen, W. S.; Mohsen, H.; Moon, K. R.; Campbell, A.; Zhao, Y.; Wang, X.; Venkataswamy, M.; Desai, A.; V., R.; Kumar, P.; Montgomery, R.; Wolf, G.; Krishnaswamy, S.",Smita  Krishnaswamy,Yale University,2018-08-27,3,new results,bioinformatics,https://www.biorxiv.org/content/early/2018/08/27/237065.source.xml,10.1038/s41592-019-0576-7
10.1101/240713,Scaling of G1 duration with population doubling time by a cyclin in Saccharomyces cerevisiae,"Blank, H. M.; Callahan, M.; Pistikopoulos, I. P. E.; Polymenis, A. O.; Polymenis, M.",Michael  Polymenis,Texas A&M University,2018-08-25,2,new results,cell biology,https://www.biorxiv.org/content/early/2018/08/25/240713.source.xml,10.1534/genetics.118.301507
10.1101/242768,Asymmetric histone incorporation during DNA replication in Drosophila male germline stem cells,"Wooten, M.; Snedeker, J.; Nizami, Z.; Yang, X.; Urban, E.; Feng, X. A.; Kim, J. M.; Gall, J.; Xiao, J.; Chen, X.",Xin  Chen,"Department of Biology, The Johns Hopkins University",2018-08-23,2,new results,developmental biology,https://www.biorxiv.org/content/early/2018/08/23/242768.source.xml,NA
10.1101/243568,Identifying biomarkers of anti-cancer drug synergy using multi-task learning,"Aben, N.; de Ruiter, J. R.; Bosdriesz, E.; Kim, Y.; Bounova, G.; Vis, D. J.; Wessels, L. F. A.; Michaut, M.",Magali  Michaut,Netherlands Cancer Institute & Oncode Institute,2018-08-23,3,new results,bioinformatics,https://www.biorxiv.org/content/early/2018/08/23/243568.source.xml,NA
10.1101/246165,Noise propagation in an integrated model of bacterial gene expression and growth,"Kleijn, I. T.; Krah, L. H. J.; Hermsen, R.",Rutger  Hermsen,Utrecht University,2018-08-23,2,new results,systems biology,https://www.biorxiv.org/content/early/2018/08/23/246165.source.xml,10.1371/journal.pcbi.1006386
10.1101/248484,Utility of the SWAN Scale for ADHD Trait-Based Genetic Research: A Validity and Polygenic Risk Study,"Burton, C. L.; Wright, L.; Shan, J.; Xiao, B.; Dupuis, A.; Goodale, T.; Shaheen, S.-M.; Corfield, E. C.; Arnold, P. D.; Schachar, R. J.; Crosbie, J.",Jennifer  Crosbie,Hospital for Sick Children; University of Toronto,2018-08-21,2,new results,genetics,https://www.biorxiv.org/content/early/2018/08/21/248484.source.xml,NA
10.1101/253203,Modelling mitosis with multiple phenotypes: relation to Haeckel’s recapitulation law,"Alexandrov, Y.",Yuriy  Alexandrov,Imperial College London,2018-08-22,4,new results,physiology,https://www.biorxiv.org/content/early/2018/08/22/253203.source.xml,NA
10.1101/253518,Priority effects and non-hierarchical competition shape species composition in a complex grassland community,"Uricchio, L. H.; Daws, S. C.; Spear, E. R.; Mordecai, E. A.",Erin A Mordecai,Stanford University,2018-08-24,4,new results,ecology,https://www.biorxiv.org/content/early/2018/08/24/253518.source.xml,10.1086/701434
10.1101/257105,Intron-mediated enhancement boosts Rtn4 circRNA expression: A robust method for exploring circRNA function,"Mo, D.; Li, X.; Cui, D.; Vollmar, J.-F.",Dingding  Mo,Max Planck Institute for Biology of Ageing,2018-08-22,2,new results,biochemistry,https://www.biorxiv.org/content/early/2018/08/22/257105.source.xml,10.1038/s41598-019-48224-y
10.1101/259507,The Rate of Molecular Evolution When Mutation May Not Be Weak,"de Koning, A. P. J.; De Sanctis, B. D.",A.P. Jason  de Koning,University of Calgary,2018-08-28,2,new results,genetics,https://www.biorxiv.org/content/early/2018/08/28/259507.source.xml,NA
10.1101/260950,The interplay of synaptic plasticity and scaling enables the self-organized allocation of multiple memory representations,"Auth, J. M.; Nachstedt, T.; Tetzlaff, C.",Christian  Tetzlaff,"Third Institute of Physics, Georg-August-University Goettingen, Germany",2018-08-27,2,new results,neuroscience,https://www.biorxiv.org/content/early/2018/08/27/260950.source.xml,10.3389/fncir.2020.541728
10.1101/264580,Competition in biofilms between cystic fibrosis isolates of Pseudomonas aeruginosa is driven by R-pyocins,"Oluyombo, O.; Diggle, S. P.; Penfold, C. N.",Stephen P Diggle,Georgia Institute of Technology,2018-08-21,3,new results,microbiology,https://www.biorxiv.org/content/early/2018/08/21/264580.source.xml,10.1128/mBio.01828-18
10.1101/264960,A plant biodiversity effect resolved to a single genetic locus,"Wuest, S. E.; Niklaus, P. A.",Samuel E Wuest,University of Zurich,2018-08-28,3,new results,ecology,https://www.biorxiv.org/content/early/2018/08/28/264960.source.xml,10.1038/s41559-018-0708-y
10.1101/264945,Neo-formation of chromosomes in bacteria,"Poirion, O. B.; Lafay, B.",Benedicte  Lafay,CNRS,2018-08-27,3,new results,genomics,https://www.biorxiv.org/content/early/2018/08/27/264945.source.xml,NA
10.1101/264846,Cyfip1 haploinsufficiency increases compulsive-like behavior and modulates palatable food intake: Implications for Prader-Willi Syndrome,"Babbs, R. K.; Ruan, Q. T.; Kelliher, J. C.; Beierle, J. A.; Chen, M. M.; Feng, A. X.; Kirkpatrick, S. L.; Benitez, F. A.; Rodriguez, F. A.; Pierre, J.; Anandakumar, J.; Kumar, V.; Mulligan, M. K.; Bryant, C. D.",Camron D Bryant,Boston University School of Medicine,2018-08-21,2,new results,genetics,https://www.biorxiv.org/content/early/2018/08/21/264846.source.xml,10.1534/g3.119.400470
10.1101/266700,Metagenomic analysis with strain-level resolution reveals fine-scale variation in the human pregnancy microbiome,"Goltsman, D. S. A.; Sun, C. L.; Proctor, D. M.; DiGiulio, D. B.; Robaczewska, A.; Thomas, B. C.; Shaw, G. M.; Stevenson, D. K.; Holmes, S. P.; Banfield, J. F.; Relman, D. A.",David A. Relman,Stanford University,2018-08-21,3,new results,microbiology,https://www.biorxiv.org/content/early/2018/08/21/266700.source.xml,10.1101/gr.236000.118
10.1101/268623,Developing an automated iterative near-term forecasting system for an ecological study,"White, E. P.; Yenni, G. M.; Taylor, S. D.; Christensen, E. M.; Bledsoe, E. K.; Simonis, J. L.; Ernest, S. K. M.",Ethan P White,University of Florida,2018-08-27,3,new results,ecology,https://www.biorxiv.org/content/early/2018/08/27/268623.source.xml,10.1111/2041-210x.13104
10.1101/267906,Tbx1 regulates extracellular matrix-cell interactions in the second heart field.,"Alfano, D.; Altomonte, A.; Cortes, C.; Bilio, M.; Kelly, R. G.; Baldini, A.",Antonio  Baldini,University of Naples Federico II,2018-08-26,2,new results,developmental biology,https://www.biorxiv.org/content/early/2018/08/26/267906.source.xml,10.1093/hmg/ddz058
10.1101/275545,A 3D model of human skeletal muscle innervated with stem cell-derived motor neurons enables epsilon-subunit targeted myasthenic syndrome studies,"Afshar Bakooshli, M.; Lippmann, E. S.; Mulcahy, B.; Iyer, N.; Nguyen, C. T.; Tung, K.; Stewart, B. A.; Mouly, V.; Pegoraro, E.; Ahn, H.; Ginsberg, H.; Zhen, M.; Ashton, R. S.; Gilbert, P. M.",Penney M Gilbert,"Institute of Biomaterials and Biomedical Engineering, University of Toronto, Toronto, ON, Canada",2018-08-23,3,new results,bioengineering,https://www.biorxiv.org/content/early/2018/08/23/275545.source.xml,NA
10.1101/275545,A 3D model of human skeletal muscle innervated with stem cell-derived motor neurons enables epsilon-subunit targeted myasthenic syndrome studies,"Afshar Bakooshli, M.; Lippmann, E. S.; Mulcahy, B.; Iyer, N.; Nguyen, C. T.; Tung, K.; Stewart, B. A.; Bigot, A.; Pegoraro, E.; Ahn, H.; Ginsberg, H.; Zhen, M.; Ashton, R. S.; Gilbert, P. M.",Penney M Gilbert,"Institute of Biomaterials and Biomedical Engineering, University of Toronto, Toronto, ON, Canada",2018-08-26,4,new results,bioengineering,https://www.biorxiv.org/content/early/2018/08/26/275545.source.xml,NA
10.1101/277020,Reconstructing imagined letters from early visual cortex reveals tight topographic correspondence between visual mental imagery and perception,"Senden, M.; Emmerling, T. C.; Van Hoof, R.; Frost, M.; Goebel, R.",Mario  Senden,Maastricht University,2018-08-28,2,new results,neuroscience,https://www.biorxiv.org/content/early/2018/08/28/277020.source.xml,10.1007/s00429-019-01828-6
10.1101/277715,Analysis of novel domain-specific mutations in the zebrafish ndr2/cyclops gene generated using CRISPR-Cas9 RNPs,"Turner, A. N.; Andersen, R. S.; Bookout, I. E.; Brashear, L. N.; Davis, J. C.; Gahan, D. M.; Gotham, J. P.; Hijaz, B. A.; Kaushik, A. S.; McGill, J. B.; Miller, V. L.; Moseley, Z. P.; Nowell, C. L.; Patel, R. K.; Rodgers, M. C.; Shihab, Y. A.; Walker, A. P.; Glover, S. R.; Foster, S. D.; Challa, A. K.",Anil Kumar  Challa,University of Alabama at Birmingham,2018-08-25,3,confirmatory results,genetics,https://www.biorxiv.org/content/early/2018/08/25/277715.source.xml,10.1007/s12041-018-1033-6
10.1101/279570,Capturing diverse microbial sequence with comprehensive and scalable probe design,"Metsky, H. C.; Siddle, K. J.; Gladden-Young, A.; Qu, J.; Yang, D. K.; Brehio, P.; Goldfarb, A.; Piantadosi, A.; Wohl, S.; Carter, A.; Lin, A. E.; Barnes, K. G.; Tully, D. C.; Corleis, B.; Hennigan, S.; Barbosa-Lima, G.; Vieira, Y. R.; Paul, L. M.; Tan, A. L.; Garcia, K. F.; Parham, L. A.; Odia, I.; Eromon, P.; Folarin, O. A.; Goba, A.; Viral Hemorrhagic Fever Consortium,  ; Simon-Loriere, E.; Hensley, L.; Balmaseda, A.; Harris, E.; Kwon, D.; Allen, T. M.; Runstadler, J. A.; Smole, S.; Bozza, F. A.; Souza, T. M.; Isern, S.; Michael, S. F.; Lorenzana, I.; Gehrke, L.; Bosch, I.; Ebel, G.; Grant, ",Hayden C Metsky,"Broad Institute of MIT and Harvard, USA",2018-08-28,2,new results,genomics,https://www.biorxiv.org/content/early/2018/08/28/279570.source.xml,10.1038/s41587-018-0006-x
10.1101/282301,Genetic dissection of assortative mating behavior,"Merrill, R. M.; Rastas, P.; Melo, M.-C.; Martin, S. H.; Barker, S.; Davey, J.; McMillan, W. O.; Jiggins, C.",Richard M Merrill,"Ludwig-Maximilians-Universitat, Munich",2018-08-28,2,new results,evolutionary biology,https://www.biorxiv.org/content/early/2018/08/28/282301.source.xml,10.1371/journal.pbio.2005902
10.1101/285981,Integrative Cross-species Analyses Suggest Deficits in Habituation Learning as a Widely Affected Mechanism in Intellectual Disability and Autism Spectrum Disorders,"Fenckova, M.; Asztalos, L.; Cizek, P.; Singgih, E. L.; Blok, L. E. R.; Glennon, J. C.; IntHout, J.; Zweier, C.; Eichler, E. E.; Bernier, R.; Asztalos, Z.; Schenck, A.",Annette  Schenck,Radboud university medical center,2018-08-27,3,new results,neuroscience,https://www.biorxiv.org/content/early/2018/08/27/285981.source.xml,NA
10.1101/291088,Intracellular signaling through the comRS system in Streptococcus mutans genetic competence,"Underhill, S. A. M.; Shields, R. C.; Kaspar, J. R.; Haider, M.; Burne, R. A.; Hagen, S. J.",Stephen J Hagen,"University of Florida, Physics Department",2018-08-22,3,new results,microbiology,https://www.biorxiv.org/content/early/2018/08/22/291088.source.xml,10.1128/mSphere.00444-18
10.1101/298356,Science podcasts: analysis of global production and output from 2004 to 2018,"MacKenzie, L. E.",Lewis E MacKenzie,"Durham University, Department of Chemistry",2018-08-28,8,new results,scientific communication and education,https://www.biorxiv.org/content/early/2018/08/28/298356.source.xml,10.1098/rsos.180932
10.1101/300251,Persistent coding of outcome-predictive cue features in the rat nucleus accumbens,"Gmaz, J. M.; Carmichael, J. E.; van der Meer, M.",Matthijs  van der Meer,Dartmouth College,2018-08-27,3,new results,neuroscience,https://www.biorxiv.org/content/early/2018/08/27/300251.source.xml,10.7554/elife.37275
10.1101/301838,Robust and clinically relevant prediction of response to anti-cancer drugs via network integration of molecular profiles,"Franco, M.; Jeggari, A.; Peuget, S.; Böttger, F.; Selivanova, G.; Alexeyenko, A.",Andrey  Alexeyenko,Karolinska Institutet,2018-08-21,2,new results,cancer biology,https://www.biorxiv.org/content/early/2018/08/21/301838.source.xml,10.1038/s41598-019-39019-2
10.1101/302679,Draft Aphaenogaster genomes expand our view of ant genome size variation across climate gradients,"Lau, M.; Ellison, A. M.; Nguyen, A. D.; Penick, C.; DeMarco, B.; Gotelli, N. J.; Sanders, N.; Dunn, R.; Helms Cahan, S.",Matthew  Lau,Harvard University,2018-08-23,4,new results,genomics,https://www.biorxiv.org/content/early/2018/08/23/302679.source.xml,10.7717/peerj.6447
10.1101/304832,Development of the P300 from childhood to adulthood: a multimodal EEG and MRI study,"Overbye, K.; Huster, R. J.; Walhovd, K. B.; Fjell, A. M.; Tamnes, C. K.",Knut  Overbye,"Department of Psychology, University of Oslo",2018-08-25,3,new results,neuroscience,https://www.biorxiv.org/content/early/2018/08/25/304832.source.xml,10.1007/s00429-018-1755-5
10.1101/307165,The genome of Ectocarpus subulatus highlights unique mechanisms for stress tolerance in brown algae,"Dittami, S. M.; Corre, E.; Brillet-Gueguen, L.; Pontoizeau, N.; Aite, M.; Avia, K.; Caron, C.; Cho, C. H.; Collen, J.; Cormier, A.; Delage, L.; Doubleau, S.; Frioux, C.; Gobet, A.; Gonzalez-Navarrete, I.; Groisillier, A.; Herve, C.; Jollivet, D.; KleinJan, H.; Leblanc, C.; Lipinska, A. P.; Liu, X.; Marie, D.; Markov, G. V.; Minoche, A. E.; Monsoor, M.; Pericard, P.; Perrineau, M.-M.; Peters, A. F.; Siegel, A.; Simeon, A.; Trottier, C.; Yoon, H. S.; Himmelbauer, H.; Boyen, C.; Tonon, T.",Simon M. Dittami,"Sorbonne Universite, CNRS, Integrative Biology of Marine Models, Station Biologique de Roscoff",2018-08-28,2,new results,genomics,https://www.biorxiv.org/content/early/2018/08/28/307165.source.xml,10.1016/j.margen.2020.100740
10.1101/307322,When higher carrying capacities lead to faster propagation,"Haond, M.; Morel-Journel, T.; Lombaert, E.; Vercken, E.; Mailleret, L.; Roques, L.",Marjorie  Haond,"Universite Cote d'Azur, INRA, CNRS, ISA, France",2018-08-23,2,new results,ecology,https://www.biorxiv.org/content/early/2018/08/23/307322.source.xml,10.24072/pcjournal.66
10.1101/307264,The evolution of CHC22 clathrin influences its role in human glucose metabolism,"Fumagalli, M.; Diekmann, Y.; Camus, S. M.; Burke, A.; Camus, M. D.; Norman, P. J.; Joseph, A.-P.; Abi-Rached, L.; Benazzo, A.; Rasteiro, R.; Mathieson, I.; Topf, M.; Parham, P.; Thomas, M. G.; Brodsky, F. M.",Frances M Brodsky,University College London,2018-08-21,2,new results,genetics,https://www.biorxiv.org/content/early/2018/08/21/307264.source.xml,10.7554/eLife.41517
10.1101/310227,Molecular Strategy for Blocking Isopeptide Bond Formation in Nascent Pilin Proteins,"Rivas-Pardo, J. A.; Tapia-Rojo, R.; Badilla, C. L.; Alonso Caballero, A.; Fernandez, J. M.",Jaime Andres  Rivas-Pardo,Columbia University,2018-08-27,3,new results,biophysics,https://www.biorxiv.org/content/early/2018/08/27/310227.source.xml,10.1073/pnas.1807689115
10.1101/310151,A consistent picture of TRPV1 activation emerges from molecular simulations and experiments,"Kasimova, M.; Yazici, A.; Yudin, Y.; Granata, D.; Klein, M. L.; Rohacs, T.; Carnevale, V.",Vincenzo  Carnevale,Temple University,2018-08-24,2,new results,biophysics,https://www.biorxiv.org/content/early/2018/08/24/310151.source.xml,NA
10.1101/311050,Physical activity predicts population-level age-related differences in frontal white matter,"Strommer, J. M.; Davis, S. W.; Henson, R. N.; Tyler, L. K.; Cam-CAN,  ; Campbell, K. L.",Juho M. Strommer,University of Jyvaskyla,2018-08-24,2,new results,neuroscience,https://www.biorxiv.org/content/early/2018/08/24/311050.source.xml,10.1093/gerona/gly220
10.1101/247411,Exploring the genetic correlations of antisocial behavior and life history traits,"Tielbeek, J.; Barnes, J. C.; Popma, A.; Polderman, T.; Lee, J. J.; Perry, J. B.; Posthuma, D.; Boutwell, B. B.",Brian B Boutwell,Saint Louis University,2018-08-23,2,new results,genomics,https://www.biorxiv.org/content/early/2018/08/23/247411.source.xml,NA
10.1101/312355,Germline genomic landscapes of breast cancer patients significantly predict clinical outcomes,"Milanese, J.-S.; Tibiche, C.; Zaman, N.; Zou, J.; Han, P.; Meng, Z. G.; Nantel, A.; Droit, A.; Wang, E.",Edwin  Wang,University Of Calgary,2018-08-28,3,new results,cancer biology,https://www.biorxiv.org/content/early/2018/08/28/312355.source.xml,10.1038/s41698-019-0100-7
10.1101/313296,CHASMplus reveals the scope of somatic missense mutations driving human cancers,"Tokheim, C.; Karchin, R.",Rachel  Karchin,Johns Hopkins University,2018-08-24,3,new results,bioinformatics,https://www.biorxiv.org/content/early/2018/08/24/313296.source.xml,10.1016/j.cels.2019.05.005
10.1101/312827,EEG-based auditory attention detection: boundary conditions for background noise and speaker positions,"Das, N.; Bertrand, A.; Francart, T.",Neetha  Das,KU Leuven,2018-08-23,2,new results,bioengineering,https://www.biorxiv.org/content/early/2018/08/23/312827.source.xml,10.1088/1741-2552/aae0a6
10.1101/312397,A practical generation interval-based approach to inferring the strength of epidemics from their speed,"Park, S. W.; Champredon, D.; Weitz, J.; Dushoff, J.",Jonathan  Dushoff,McMaster University,2018-08-27,2,new results,epidemiology,https://www.biorxiv.org/content/early/2018/08/27/312397.source.xml,10.1016/j.epidem.2018.12.002
10.1101/317511,Omitted variable bias in GLMs of neural spiking activity,"Stevenson, I. H.",Ian H Stevenson,University of Connecticut,2018-08-21,2,new results,neuroscience,https://www.biorxiv.org/content/early/2018/08/21/317511.source.xml,10.1162/neco_a_01138
10.1101/319657,Aurora B is required for programmed variations of cytokinesis during morphogenesis in the C. elegans embryo,"Bai, X.; Lee, P.-Y.; Chen, C.-Y.; Simmons, J. R.; Nebenfuehr, B.; Mitchell, D.; Klebanow, L. R.; Mattson, N.; Sorensen Turpin, C. G.; Chen, B.-C.; Betzig, E.; Bembenek, J. N.",Joshua N Bembenek,UT Knoxville,2018-08-27,3,new results,cell biology,https://www.biorxiv.org/content/early/2018/08/27/319657.source.xml,NA
10.1101/320473,Poor coherence in older people’s speech is explained by impaired semantic and executive processes,"Hoffman, P.; Loginova, E.; Russell, A.",Paul  Hoffman,University of Edinburgh,2018-08-28,3,new results,neuroscience,https://www.biorxiv.org/content/early/2018/08/28/320473.source.xml,10.7554/eLife.38907
10.1101/321067,RAVEN 2.0: a versatile toolbox for metabolic network reconstruction and a case study on Streptomyces coelicolor,"Wang, H.; Marcisauskas, S.; Sanchez, B. J.; Domenzain, I.; Hermansson, D.; Agren, R.; Nielsen, J.; Kerkhoven, E. J.",Eduard Johannes Kerkhoven,Chalmers University of Technology,2018-08-23,2,new results,systems biology,https://www.biorxiv.org/content/early/2018/08/23/321067.source.xml,10.1371/journal.pcbi.1006541
10.1101/318279,Effects of Attentional Bias Modification on Residual Symptoms in depression. A Randomized Controlled Trial.,"Jonassen, R.; Harmer, C. J.; Hilland, E.; Maglanoc, L. A.; Kraft, B.; Browning, M.; Stiles, T. C.; Haaland, V. O.; Berge, T.; Landro, N. I.",Rune  Jonassen,"Department of Psychology, University of Oslo, Norway",2018-08-22,2,new results,clinical trials,https://www.biorxiv.org/content/early/2018/08/22/318279.source.xml,10.1186/s12888-019-2105-8
